Time,People Count,Density
17:39:42,11,LOW
17:39:42,12,LOW
17:39:42,13,LOW
17:39:43,13,LOW
17:39:43,12,LOW
17:39:43,12,LOW
17:39:43,14,LOW
17:39:43,12,LOW
17:39:43,14,LOW
17:39:43,12,LOW
17:39:44,10,LOW
17:39:44,9,LOW
17:39:44,10,LOW
17:39:44,10,LOW
17:39:44,10,LOW
17:39:44,11,LOW
17:39:45,10,LOW
17:39:45,13,LOW
17:39:45,12,LOW
17:39:45,15,MEDIUM
17:39:45,12,LOW
17:39:45,12,LOW
17:39:45,12,LOW
17:39:46,13,LOW
17:39:46,13,LOW
17:39:46,11,LOW
17:39:46,11,LOW
17:39:46,11,LOW
17:39:46,12,LOW
17:39:47,9,LOW
17:39:47,8,LOW
17:39:47,9,LOW
17:39:47,8,LOW
17:39:47,8,LOW
17:39:47,7,LOW
17:39:47,7,LOW
17:39:48,6,LOW
17:39:48,6,LOW
17:39:48,4,LOW
17:39:48,5,LOW
17:39:48,6,LOW
17:39:48,7,LOW
17:39:49,8,LOW
17:39:49,8,LOW
17:39:49,9,LOW
17:39:49,6,LOW
17:39:49,7,LOW
17:39:49,7,LOW
17:39:49,7,LOW
17:39:50,9,LOW
17:39:50,7,LOW
17:39:50,8,LOW
17:39:50,8,LOW
17:39:50,10,LOW
17:39:50,10,LOW
17:39:51,7,LOW
17:39:51,9,LOW
17:39:51,9,LOW
17:39:51,9,LOW
17:39:51,10,LOW
17:39:51,11,LOW
17:39:51,10,LOW
17:39:52,9,LOW
17:39:52,10,LOW
17:39:52,9,LOW
17:39:52,8,LOW
17:39:52,8,LOW
17:39:52,8,LOW
17:39:52,6,LOW
17:39:53,5,LOW
17:39:53,3,LOW
17:39:53,3,LOW
17:39:53,4,LOW
17:39:53,3,LOW
17:39:53,5,LOW
17:39:54,6,LOW
17:39:54,6,LOW
17:39:54,5,LOW
17:39:54,6,LOW
17:39:54,5,LOW
17:39:54,4,LOW
17:39:54,4,LOW
17:39:55,8,LOW
17:39:55,7,LOW
17:39:55,6,LOW
17:39:55,7,LOW
17:39:55,7,LOW
17:39:55,7,LOW
17:39:56,8,LOW
17:39:56,9,LOW
17:39:56,9,LOW
17:39:56,9,LOW
17:39:56,9,LOW
17:39:56,9,LOW
17:39:56,7,LOW
17:39:57,7,LOW
17:39:57,5,LOW
17:39:57,7,LOW
17:39:57,5,LOW
17:39:57,7,LOW
17:39:57,6,LOW
17:39:58,6,LOW
17:39:58,5,LOW
17:39:58,4,LOW
17:39:58,5,LOW
17:39:58,4,LOW
17:39:58,4,LOW
17:39:58,5,LOW
17:39:59,4,LOW
17:39:59,5,LOW
17:39:59,6,LOW
17:39:59,5,LOW
17:39:59,7,LOW
17:39:59,6,LOW
17:40:00,6,LOW
17:40:00,8,LOW
17:40:00,8,LOW
17:40:00,10,LOW
17:40:00,8,LOW
17:40:00,10,LOW
17:40:00,12,LOW
17:40:01,13,LOW
17:40:01,11,LOW
17:40:01,9,LOW
17:40:01,10,LOW
17:40:01,9,LOW
17:40:01,11,LOW
17:40:02,10,LOW
17:40:02,10,LOW
17:40:02,11,LOW
17:40:02,11,LOW
17:40:02,10,LOW
17:40:02,8,LOW
17:40:02,9,LOW
17:40:03,7,LOW
17:40:03,7,LOW
17:40:03,7,LOW
17:40:03,8,LOW
17:40:03,9,LOW
17:40:03,10,LOW
17:40:03,9,LOW
17:40:04,9,LOW
17:40:04,9,LOW
17:40:04,9,LOW
17:40:04,9,LOW
17:40:04,10,LOW
17:40:04,11,LOW
17:40:05,11,LOW
17:40:05,11,LOW
17:40:05,11,LOW
17:40:05,10,LOW
17:40:05,9,LOW
17:40:05,10,LOW
17:40:05,10,LOW
17:40:06,10,LOW
17:40:06,10,LOW
17:40:06,10,LOW
17:40:06,9,LOW
17:40:06,13,LOW
17:40:06,13,LOW
17:40:07,13,LOW
17:40:07,13,LOW
17:40:07,13,LOW
17:40:07,13,LOW
17:40:07,12,LOW
17:40:07,12,LOW
17:40:07,12,LOW
17:40:08,14,LOW
17:40:08,14,LOW
17:40:08,14,LOW
17:40:08,14,LOW
17:40:08,13,LOW
17:40:08,13,LOW
17:40:09,13,LOW
17:40:09,13,LOW
17:40:09,13,LOW
17:40:09,13,LOW
17:40:09,13,LOW
17:40:09,14,LOW
17:40:09,14,LOW
17:40:10,14,LOW
17:40:10,11,LOW
17:40:10,11,LOW
17:40:10,11,LOW
17:40:10,11,LOW
17:40:10,13,LOW
17:40:10,13,LOW
17:40:11,13,LOW
17:40:11,13,LOW
17:40:11,13,LOW
17:40:11,13,LOW
17:40:11,13,LOW
17:40:11,13,LOW
17:40:12,12,LOW
17:40:12,13,LOW
17:40:12,12,LOW
17:40:12,13,LOW
17:40:12,13,LOW
17:40:12,13,LOW
17:40:12,12,LOW
17:40:13,12,LOW
17:40:13,13,LOW
17:40:13,13,LOW
17:40:13,13,LOW
17:40:13,13,LOW
17:40:13,13,LOW
17:40:14,13,LOW
17:40:14,13,LOW
17:40:14,13,LOW
17:40:14,13,LOW
17:40:14,13,LOW
17:40:14,13,LOW
17:40:14,13,LOW
17:40:15,13,LOW
17:40:15,13,LOW
17:40:15,13,LOW
17:40:15,13,LOW
17:40:15,12,LOW
17:40:15,12,LOW
17:40:16,12,LOW
17:40:16,12,LOW
17:40:16,12,LOW
17:40:16,11,LOW
17:40:16,11,LOW
17:40:16,11,LOW
17:40:17,11,LOW
17:40:17,13,LOW
17:40:17,13,LOW
17:40:17,12,LOW
17:40:17,11,LOW
17:40:17,11,LOW
17:40:17,12,LOW
17:40:18,12,LOW
17:40:18,12,LOW
17:40:18,12,LOW
17:40:18,12,LOW
17:40:18,12,LOW
17:40:18,13,LOW
17:40:19,13,LOW
17:40:19,13,LOW
17:40:19,13,LOW
17:40:19,13,LOW
17:40:19,12,LOW
17:40:19,12,LOW
17:40:19,12,LOW
17:40:20,12,LOW
17:40:20,13,LOW
17:40:20,13,LOW
17:40:20,13,LOW
17:40:20,13,LOW
17:40:20,13,LOW
17:40:21,11,LOW
17:40:21,13,LOW
17:40:21,13,LOW
17:40:21,12,LOW
17:40:21,13,LOW
17:40:21,14,LOW
17:40:22,16,MEDIUM
17:40:22,13,LOW
17:40:22,13,LOW
17:40:22,12,LOW
17:40:22,12,LOW
17:40:22,13,LOW
17:40:22,12,LOW
17:40:23,11,LOW
17:40:23,11,LOW
17:40:23,11,LOW
17:40:23,11,LOW
17:40:23,11,LOW
17:40:23,12,LOW
17:40:24,12,LOW
17:40:24,12,LOW
17:40:24,10,LOW
17:40:24,11,LOW
17:40:24,11,LOW
17:40:24,10,LOW
17:40:24,10,LOW
17:40:25,11,LOW
17:40:25,11,LOW
17:40:25,12,LOW
17:40:25,11,LOW
17:40:25,11,LOW
17:40:25,12,LOW
17:40:26,11,LOW
17:40:26,14,LOW
17:40:26,14,LOW
17:40:26,14,LOW
17:40:26,14,LOW
17:40:26,14,LOW
17:40:26,14,LOW
17:40:27,13,LOW
17:40:27,14,LOW
17:40:27,14,LOW
17:40:27,13,LOW
17:40:27,13,LOW
17:40:27,13,LOW
17:40:28,13,LOW
17:40:28,13,LOW
17:40:28,13,LOW
17:40:28,13,LOW
17:40:28,13,LOW
17:40:28,14,LOW
17:40:28,13,LOW
17:40:29,14,LOW
17:40:29,14,LOW
17:40:29,14,LOW
17:40:29,14,LOW
17:40:29,14,LOW
17:40:29,13,LOW
17:40:30,13,LOW
17:40:30,14,LOW
17:40:30,12,LOW
17:40:30,13,LOW
17:40:30,13,LOW
17:40:30,14,LOW
17:40:30,12,LOW
17:40:31,12,LOW
17:40:31,12,LOW
17:40:31,12,LOW
17:40:31,13,LOW
17:40:31,12,LOW
17:40:31,12,LOW
17:40:31,12,LOW
17:40:32,12,LOW
17:40:32,12,LOW
17:40:32,12,LOW
17:40:32,12,LOW
17:40:32,12,LOW
17:40:32,13,LOW
17:40:33,11,LOW
17:40:33,11,LOW
17:40:33,12,LOW
17:40:33,12,LOW
17:40:33,12,LOW
17:40:33,12,LOW
17:40:33,12,LOW
17:40:34,13,LOW
17:40:34,14,LOW
17:40:34,14,LOW
17:40:34,14,LOW
17:40:34,13,LOW
17:40:34,13,LOW
17:40:35,12,LOW
17:40:35,13,LOW
17:40:35,13,LOW
17:40:35,14,LOW
17:40:35,13,LOW
17:40:35,13,LOW
17:40:35,13,LOW
17:40:36,13,LOW
17:40:36,13,LOW
17:40:36,13,LOW
17:40:36,13,LOW
17:40:36,13,LOW
17:40:36,14,LOW
17:40:37,13,LOW
17:40:37,14,LOW
17:40:37,13,LOW
17:40:37,14,LOW
17:40:37,12,LOW
17:40:37,13,LOW
17:40:37,12,LOW
17:40:38,13,LOW
17:40:38,13,LOW
17:40:38,13,LOW
17:40:38,11,LOW
17:40:38,11,LOW
17:40:38,11,LOW
17:40:39,11,LOW
17:40:39,11,LOW
17:40:39,11,LOW
17:40:39,12,LOW
17:40:39,12,LOW
17:40:39,12,LOW
17:40:39,12,LOW
17:40:40,11,LOW
17:40:40,11,LOW
17:40:40,12,LOW
17:40:40,12,LOW
17:40:40,12,LOW
17:40:40,12,LOW
17:40:41,11,LOW
17:40:41,13,LOW
17:40:41,14,LOW
17:40:41,13,LOW
17:40:41,12,LOW
17:40:41,13,LOW
17:40:41,12,LOW
17:40:42,11,LOW
17:40:42,11,LOW
17:40:42,11,LOW
17:40:42,11,LOW
17:40:42,12,LOW
17:40:42,12,LOW
17:40:43,12,LOW
17:40:43,11,LOW
17:40:43,11,LOW
17:40:43,11,LOW
17:40:43,11,LOW
17:40:44,11,LOW
17:40:44,11,LOW
17:40:44,11,LOW
