Time,Area A,Area B,Best Route
18:10:50,15,40,1
18:10:50,11,42,1
18:10:50,10,40,1
18:10:50,12,39,1
18:10:50,9,39,1
18:10:51,9,38,1
18:10:51,10,41,1
18:10:51,10,44,1
18:10:51,8,43,1
18:10:51,8,41,1
18:10:51,8,42,1
18:10:52,9,48,1
18:10:52,10,48,1
18:10:52,12,48,1
18:10:52,11,50,1
18:10:52,11,47,1
18:10:52,13,45,1
18:10:53,13,41,1
18:10:53,11,47,1
18:10:53,10,47,1
18:10:53,9,45,1
18:10:53,10,40,1
18:10:53,10,39,1
18:10:53,12,43,1
18:10:54,11,39,1
18:10:54,9,36,1
18:10:54,10,40,1
18:10:54,10,34,1
18:10:54,10,38,1
18:10:54,10,40,1
18:10:55,10,35,1
18:10:55,8,32,1
18:10:55,10,33,1
18:10:55,8,33,1
18:10:55,7,29,1
18:10:55,8,33,1
18:10:56,11,31,1
18:10:56,11,32,1
18:10:56,10,29,1
18:10:56,11,31,1
18:10:56,10,29,1
18:10:56,9,27,1
18:10:57,10,34,1
18:10:57,8,32,1
18:10:57,7,36,1
18:10:57,8,40,1
18:10:57,8,34,1
18:10:57,7,33,1
18:10:57,7,34,1
18:10:58,8,35,1
18:10:58,8,36,1
18:10:58,8,32,1
18:10:58,8,34,1
18:10:58,8,36,1
18:10:58,9,37,1
18:10:59,8,38,1
18:10:59,9,36,1
18:10:59,10,38,1
18:10:59,9,37,1
18:10:59,9,36,1
18:10:59,12,35,1
18:11:00,9,32,1
18:11:00,8,38,1
18:11:00,9,35,1
18:11:00,9,35,1
18:11:00,6,32,1
18:11:00,8,32,1
18:11:01,10,35,1
18:11:01,12,31,1
18:11:01,12,33,1
18:11:01,14,34,1
18:11:01,14,38,1
18:11:01,13,30,1
18:11:01,11,31,1
18:11:02,11,30,1
18:11:02,10,35,1
18:11:02,10,36,1
18:11:02,12,34,1
18:11:02,11,34,1
18:11:02,10,29,1
18:11:03,11,34,1
18:11:03,11,30,1
18:11:03,11,31,1
18:11:03,12,30,1
18:11:03,11,29,1
18:11:03,10,27,1
18:11:04,7,25,1
18:11:04,8,26,1
18:11:04,10,27,1
18:11:04,16,26,1
18:11:04,16,31,1
18:11:04,16,29,1
18:11:04,16,27,1
18:11:05,19,26,1
18:11:05,12,29,1
18:11:05,15,29,1
18:11:05,14,30,1
18:11:05,15,30,1
18:11:05,15,29,1
18:11:06,15,33,1
18:11:06,15,35,1
18:11:06,17,33,1
18:11:06,17,34,1
18:11:06,16,34,1
18:11:06,17,35,1
18:11:07,15,34,1
18:11:07,14,36,1
18:11:07,12,39,1
18:11:07,11,36,1
